Date	Price	Open	High	Low	Vol.	Change %
2017/8/14	126.55	126.75	126.8	126.44	945.52K	-0.21
2017/8/11	126.81	126.67	126.88	126.55	1.48M	0.2
2017/8/10	126.56	126.27	126.67	126.19	1.30M	0.17
2017/8/9	126.34	126.16	126.58	126.16	1.35M	0.25
2017/8/8	126.02	126.17	126.23	125.91	913.67K	-0.12
2017/8/7	126.17	126.09	126.22	125.94	699.88K	0.07
2017/8/4	126.08	126.39	126.44	125.91	1.27M	-0.22
2017/8/3	126.36	126.05	126.47	126.03	1.09M	0.2
2017/8/2	126.11	126.19	126.27	125.97	1.34M	-0.1
2017/8/1	126.23	125.84	126.25	125.67	1.47M	0.27
2017/7/31	125.89	125.92	126.05	125.83	1.03M	-0.05
2017/7/28	125.95	125.81	125.98	125.55	1.23M	0.1
2017/7/27	125.83	125.95	126.05	125.66	1.53M	-0.15
2017/7/26	126.02	125.5	126.06	125.48	1.38M	0.35
2017/7/25	125.58	126.14	126.2	125.48	1.47M	-0.46
2017/7/24	126.16	126.28	126.38	126.08	581.06K	-0.12
2017/7/21	126.31	126.08	126.38	126.03	757.68K	0.2
2017/7/20	126.06	126.02	126.27	125.97	1.16M	0.01
2017/7/19	126.05	126.11	126.19	125.95	907.68K	-0.05
2017/7/18	126.11	125.69	126.17	125.67	1.39M	0.29
2017/7/17	125.75	125.58	125.83	125.56	788.34K	0.06
2017/7/14	125.67	125.41	126.03	125.33	1.60M	0.21
2017/7/13	125.41	125.55	125.67	125.27	1.26M	-0.09
2017/7/12	125.52	125.17	125.73	125.14	1.62M	0.28
2017/7/11	125.17	125.03	125.23	124.88	1.08M	0.07
2017/7/10	125.08	124.91	125.14	124.86	886.58K	0.19
2017/7/7	124.84	125.02	125.11	124.8	1.51M	-0.11
2017/7/6	124.98	125.31	125.34	124.8	1.57M	-0.19
2017/7/5	125.22	125.09	125.5	124.98	1.65M	0
2017/7/4	125.22	125.12	125.5	125.09	0	0.09
2017/7/3	125.11	125.52	125.61	125.03	1.02M	-0.33
2017/6/30	125.53	125.83	125.89	125.45	1.89M	-0.22
2017/6/29	125.81	126.17	126.23	125.58	1.92M	-0.31
2017/6/28	126.2	126.25	126.33	125.88	1.80M	-0.06
2017/6/27	126.28	126.75	126.84	126.16	1.63M	-0.39
2017/6/26	126.78	126.73	126.91	126.59	841.61K	0.04
2017/6/23	126.73	126.69	126.77	126.56	714.18K	0.05
2017/6/22	126.67	126.61	126.81	126.58	884.62K	-0.13
2017/6/21	126.84	126.88	126.98	126.69	5.04K	-0.06
2017/6/20	126.92	126.66	126.91	126.56	7.92K	0.21
2017/6/19	126.66	127	127.05	126.59	8.63K	-0.2
2017/6/16	126.92	126.83	127.06	126.72	7.02K	0.06
2017/6/15	126.84	127.23	127.23	126.81	9.57K	-0.21
2017/6/14	127.11	126.56	127.55	126.56	10.11K	0.39
2017/6/13	126.61	126.53	126.62	126.45	8.42K	0.04
2017/6/12	126.56	126.56	126.73	126.47	7.97K	-0.08
2017/6/9	126.66	126.84	126.88	126.42	15.95K	-0.03
2017/6/8	126.7	126.77	126.8	126.48	12.19K	-0.06
2017/6/7	126.78	127.02	127.03	126.75	21.73K	-0.19
2017/6/6	127.02	126.75	127.14	126.73	34.37K	0.23
2017/6/5	126.73	126.86	126.94	126.66	26.28K	-0.13
2017/6/2	126.89	126.48	127.03	126.39	63.47K	0.35
2017/6/1	126.45	126.47	126.5	126.23	97.17K	-0.09
2017/5/31	126.56	126.44	126.56	126.27	260.25K	0.09
2017/5/30	126.44	126.17	126.5	126.05	1.82M	0.4
2017/5/29	125.93	125.85	125.97	125.76	0	0.04
2017/5/28	125.88	125.87	125.9	125.87	0	-0.25
2017/5/26	126.19	126.12	126.38	126.12	1.92M	0.02
